gene_id,chromosome_name,start_position,end_position
129,129,0,10
130,130,0,10
131,131,0,10
132,132,0,10
133,133,0,10
134,134,0,10
135,135,0,10
136,136,0,10
137,137,0,10
138,138,0,10
139,139,0,10
140,140,0,10
141,141,0,10
142,142,0,10
143,143,0,10
144,144,0,10
145,145,0,10
146,146,0,10
147,147,0,10
148,148,0,10
149,149,0,10
150,150,0,10
151,151,0,10
152,152,0,10
153,153,0,10
154,154,0,10
155,155,0,10
156,156,0,10
157,157,0,10
158,158,0,10
159,159,0,10
160,160,0,10
161,161,0,10
162,162,0,10
163,163,0,10
164,164,0,10
165,165,0,10
166,166,0,10
167,167,0,10
168,168,0,10
169,169,0,10
170,170,0,10
171,171,0,10
172,172,0,10
173,173,0,10
174,174,0,10
175,175,0,10
176,176,0,10
177,177,0,10
178,178,0,10
179,179,0,10
180,180,0,10
181,181,0,10
182,182,0,10
183,183,0,10
184,184,0,10
185,185,0,10
186,186,0,10
187,187,0,10
188,188,0,10
189,189,0,10
190,190,0,10
191,191,0,10
192,192,0,10
193,193,0,10
194,194,0,10
195,195,0,10
196,196,0,10
197,197,0,10
198,198,0,10
199,199,0,10
200,200,0,10
201,201,0,10
202,202,0,10
203,203,0,10
204,204,0,10
205,205,0,10
206,206,0,10
207,207,0,10
208,208,0,10
209,209,0,10
210,210,0,10
211,211,0,10
212,212,0,10
213,213,0,10
214,214,0,10
215,215,0,10
216,216,0,10
217,217,0,10
218,218,0,10
219,219,0,10
220,220,0,10
221,221,0,10
222,222,0,10
223,223,0,10
224,224,0,10
225,225,0,10
226,226,0,10
227,227,0,10
228,228,0,10
229,229,0,10
230,230,0,10
231,231,0,10
232,232,0,10
233,233,0,10
234,234,0,10
235,235,0,10
236,236,0,10
237,237,0,10
238,238,0,10
239,239,0,10
240,240,0,10
241,241,0,10
242,242,0,10
243,243,0,10
244,244,0,10
245,245,0,10
246,246,0,10
247,247,0,10
248,248,0,10
249,249,0,10
250,250,0,10
251,251,0,10
252,252,0,10
253,253,0,10
254,254,0,10
255,255,0,10
256,256,0,10
257,257,0,10
258,258,0,10
259,259,0,10
260,260,0,10
261,261,0,10
262,262,0,10
263,263,0,10
264,264,0,10
265,265,0,10
266,266,0,10
267,267,0,10
268,268,0,10
269,269,0,10
270,270,0,10
271,271,0,10
272,272,0,10
273,273,0,10
274,274,0,10
275,275,0,10
276,276,0,10
277,277,0,10
278,278,0,10
279,279,0,10
280,280,0,10
281,281,0,10
282,282,0,10
283,283,0,10
284,284,0,10
285,285,0,10
286,286,0,10
287,287,0,10
288,288,0,10
289,289,0,10
290,290,0,10
291,291,0,10
292,292,0,10
293,293,0,10
294,294,0,10
295,295,0,10
296,296,0,10
297,297,0,10
298,298,0,10
299,299,0,10
300,300,0,10
301,301,0,10
302,302,0,10
303,303,0,10
304,304,0,10
305,305,0,10
306,306,0,10
307,307,0,10
308,308,0,10
309,309,0,10
310,310,0,10
311,311,0,10
312,312,0,10
313,313,0,10
314,314,0,10
315,315,0,10
316,316,0,10
317,317,0,10
318,318,0,10
319,319,0,10
320,320,0,10
321,321,0,10
322,322,0,10
323,323,0,10
324,324,0,10
325,325,0,10
326,326,0,10
327,327,0,10
328,328,0,10
329,329,0,10
330,330,0,10
331,331,0,10
332,332,0,10
333,333,0,10
334,334,0,10
335,335,0,10
336,336,0,10
337,337,0,10
338,338,0,10
339,339,0,10
340,340,0,10
341,341,0,10
342,342,0,10
343,343,0,10
344,344,0,10
345,345,0,10
346,346,0,10
347,347,0,10
348,348,0,10
349,349,0,10
350,350,0,10
351,351,0,10
352,352,0,10
353,353,0,10
354,354,0,10
355,355,0,10
356,356,0,10
357,357,0,10
358,358,0,10
359,359,0,10
360,360,0,10
361,361,0,10
362,362,0,10
363,363,0,10
364,364,0,10
365,365,0,10
366,366,0,10
367,367,0,10
368,368,0,10
369,369,0,10
370,370,0,10
371,371,0,10
372,372,0,10
373,373,0,10
374,374,0,10
375,375,0,10
376,376,0,10
377,377,0,10
378,378,0,10
379,379,0,10
380,380,0,10
381,381,0,10
382,382,0,10
383,383,0,10
384,384,0,10
385,385,0,10
386,386,0,10
387,387,0,10
388,388,0,10
389,389,0,10
390,390,0,10
391,391,0,10
392,392,0,10
393,393,0,10
394,394,0,10
395,395,0,10
396,396,0,10
397,397,0,10
398,398,0,10
399,399,0,10
400,400,0,10
401,401,0,10
402,402,0,10
403,403,0,10
404,404,0,10
405,405,0,10
406,406,0,10
407,407,0,10
408,408,0,10
409,409,0,10
410,410,0,10
411,411,0,10
412,412,0,10
413,413,0,10
414,414,0,10
415,415,0,10
416,416,0,10
417,417,0,10
418,418,0,10
419,419,0,10
420,420,0,10
421,421,0,10
422,422,0,10
423,423,0,10
424,424,0,10
425,425,0,10
426,426,0,10
427,427,0,10
428,428,0,10
429,429,0,10
430,430,0,10
431,431,0,10
432,432,0,10
433,433,0,10
434,434,0,10
435,435,0,10
436,436,0,10
437,437,0,10
438,438,0,10
439,439,0,10
440,440,0,10
441,441,0,10
442,442,0,10
443,443,0,10
444,444,0,10
445,445,0,10
446,446,0,10
447,447,0,10
448,448,0,10
449,449,0,10
450,450,0,10
451,451,0,10
452,452,0,10
453,453,0,10
454,454,0,10
455,455,0,10
456,456,0,10
457,457,0,10
458,458,0,10
459,459,0,10
460,460,0,10
461,461,0,10
462,462,0,10
463,463,0,10
464,464,0,10
465,465,0,10
466,466,0,10
467,467,0,10
468,468,0,10
469,469,0,10
470,470,0,10
471,471,0,10
472,472,0,10
473,473,0,10
474,474,0,10
475,475,0,10
476,476,0,10
477,477,0,10
478,478,0,10
479,479,0,10
480,480,0,10
481,481,0,10
482,482,0,10
483,483,0,10
484,484,0,10
485,485,0,10
486,486,0,10
487,487,0,10
488,488,0,10
489,489,0,10
490,490,0,10
491,491,0,10
492,492,0,10
493,493,0,10
494,494,0,10
495,495,0,10
496,496,0,10
497,497,0,10
498,498,0,10
499,499,0,10
500,500,0,10
501,501,0,10
502,502,0,10
503,503,0,10
504,504,0,10
505,505,0,10
506,506,0,10
507,507,0,10
508,508,0,10
509,509,0,10
510,510,0,10
511,511,0,10
512,512,0,10
513,513,0,10
514,514,0,10
515,515,0,10
516,516,0,10
517,517,0,10
518,518,0,10
519,519,0,10
520,520,0,10
521,521,0,10
522,522,0,10
523,523,0,10
524,524,0,10
525,525,0,10
526,526,0,10
527,527,0,10
528,528,0,10
529,529,0,10
530,530,0,10
531,531,0,10
532,532,0,10
533,533,0,10
534,534,0,10
535,535,0,10
536,536,0,10
537,537,0,10
538,538,0,10
539,539,0,10
540,540,0,10
541,541,0,10
542,542,0,10
543,543,0,10
544,544,0,10
545,545,0,10
546,546,0,10
547,547,0,10
548,548,0,10
549,549,0,10
550,550,0,10
551,551,0,10
552,552,0,10
553,553,0,10
554,554,0,10
555,555,0,10
556,556,0,10
557,557,0,10
558,558,0,10
559,559,0,10
560,560,0,10
561,561,0,10
562,562,0,10
563,563,0,10
564,564,0,10
565,565,0,10
566,566,0,10
567,567,0,10
568,568,0,10
569,569,0,10
570,570,0,10
571,571,0,10
572,572,0,10
573,573,0,10
574,574,0,10
575,575,0,10
576,576,0,10
577,577,0,10
578,578,0,10
579,579,0,10
580,580,0,10
581,581,0,10
582,582,0,10
583,583,0,10
584,584,0,10
585,585,0,10
586,586,0,10
587,587,0,10
588,588,0,10
589,589,0,10
590,590,0,10
591,591,0,10
592,592,0,10
593,593,0,10
594,594,0,10
595,595,0,10
596,596,0,10
597,597,0,10
598,598,0,10
599,599,0,10
600,600,0,10
601,601,0,10
602,602,0,10
603,603,0,10
604,604,0,10
605,605,0,10
606,606,0,10
607,607,0,10
608,608,0,10
609,609,0,10
610,610,0,10
611,611,0,10
612,612,0,10
613,613,0,10
614,614,0,10
615,615,0,10
616,616,0,10
617,617,0,10
618,618,0,10
619,619,0,10
620,620,0,10
621,621,0,10
622,622,0,10
623,623,0,10
624,624,0,10
625,625,0,10
626,626,0,10
627,627,0,10
628,628,0,10
629,629,0,10
630,630,0,10
631,631,0,10
632,632,0,10
633,633,0,10
634,634,0,10
635,635,0,10
636,636,0,10
637,637,0,10
638,638,0,10
639,639,0,10
640,640,0,10
641,641,0,10
642,642,0,10
643,643,0,10
644,644,0,10
645,645,0,10
646,646,0,10
647,647,0,10
648,648,0,10
649,649,0,10
650,650,0,10
651,651,0,10
652,652,0,10
653,653,0,10
654,654,0,10
655,655,0,10
656,656,0,10
657,657,0,10
658,658,0,10
659,659,0,10
660,660,0,10
661,661,0,10
662,662,0,10
663,663,0,10
664,664,0,10
665,665,0,10
666,666,0,10
667,667,0,10
668,668,0,10
669,669,0,10
670,670,0,10
671,671,0,10
672,672,0,10
673,673,0,10
674,674,0,10
675,675,0,10
676,676,0,10
677,677,0,10
678,678,0,10
679,679,0,10
680,680,0,10
681,681,0,10
682,682,0,10
683,683,0,10
684,684,0,10
685,685,0,10
686,686,0,10
687,687,0,10
688,688,0,10
689,689,0,10
690,690,0,10
691,691,0,10
692,692,0,10
693,693,0,10
694,694,0,10
695,695,0,10
696,696,0,10
697,697,0,10
698,698,0,10
699,699,0,10
700,700,0,10
701,701,0,10
702,702,0,10
703,703,0,10
704,704,0,10
705,705,0,10
706,706,0,10
707,707,0,10
708,708,0,10
709,709,0,10
710,710,0,10
711,711,0,10
712,712,0,10
713,713,0,10
714,714,0,10
715,715,0,10
716,716,0,10
717,717,0,10
718,718,0,10
719,719,0,10
720,720,0,10
721,721,0,10
722,722,0,10
723,723,0,10
724,724,0,10
725,725,0,10
726,726,0,10
727,727,0,10
728,728,0,10
729,729,0,10
730,730,0,10
731,731,0,10
732,732,0,10
733,733,0,10
734,734,0,10
735,735,0,10
736,736,0,10
737,737,0,10
738,738,0,10
739,739,0,10
740,740,0,10
741,741,0,10
742,742,0,10
743,743,0,10
744,744,0,10
745,745,0,10
746,746,0,10
747,747,0,10
748,748,0,10
749,749,0,10
750,750,0,10
751,751,0,10
752,752,0,10
753,753,0,10
754,754,0,10
755,755,0,10
756,756,0,10
757,757,0,10
758,758,0,10
759,759,0,10
760,760,0,10
761,761,0,10
762,762,0,10
763,763,0,10
764,764,0,10
765,765,0,10
766,766,0,10
767,767,0,10
768,768,0,10
769,769,0,10
770,770,0,10
771,771,0,10
772,772,0,10
773,773,0,10
774,774,0,10
775,775,0,10
776,776,0,10
777,777,0,10
778,778,0,10
779,779,0,10
780,780,0,10
781,781,0,10
782,782,0,10
783,783,0,10
784,784,0,10
785,785,0,10
786,786,0,10
787,787,0,10
788,788,0,10
789,789,0,10
790,790,0,10
791,791,0,10
792,792,0,10
793,793,0,10
794,794,0,10
795,795,0,10
796,796,0,10
797,797,0,10
798,798,0,10
799,799,0,10
800,800,0,10
801,801,0,10
802,802,0,10
803,803,0,10
804,804,0,10
805,805,0,10
806,806,0,10
807,807,0,10
808,808,0,10
809,809,0,10
810,810,0,10
811,811,0,10
812,812,0,10
813,813,0,10
814,814,0,10
815,815,0,10
816,816,0,10
817,817,0,10
818,818,0,10
819,819,0,10
820,820,0,10
821,821,0,10
822,822,0,10
823,823,0,10
824,824,0,10
825,825,0,10
826,826,0,10
827,827,0,10
828,828,0,10
829,829,0,10
830,830,0,10
831,831,0,10
832,832,0,10
833,833,0,10
834,834,0,10
835,835,0,10
836,836,0,10
837,837,0,10
838,838,0,10
839,839,0,10
840,840,0,10
841,841,0,10
842,842,0,10
843,843,0,10
844,844,0,10
845,845,0,10
846,846,0,10
847,847,0,10
848,848,0,10
849,849,0,10
850,850,0,10
851,851,0,10
852,852,0,10
853,853,0,10
854,854,0,10
855,855,0,10
856,856,0,10
857,857,0,10
858,858,0,10
859,859,0,10
860,860,0,10
861,861,0,10
862,862,0,10
863,863,0,10
864,864,0,10
865,865,0,10
866,866,0,10
867,867,0,10
868,868,0,10
869,869,0,10
870,870,0,10
871,871,0,10
872,872,0,10
873,873,0,10
874,874,0,10
875,875,0,10
876,876,0,10
877,877,0,10
878,878,0,10
879,879,0,10
880,880,0,10
881,881,0,10
882,882,0,10
883,883,0,10
884,884,0,10
885,885,0,10
886,886,0,10
887,887,0,10
888,888,0,10
889,889,0,10
890,890,0,10
891,891,0,10
892,892,0,10
893,893,0,10
894,894,0,10
895,895,0,10
896,896,0,10
897,897,0,10
898,898,0,10
899,899,0,10
900,900,0,10
901,901,0,10
902,902,0,10
903,903,0,10
904,904,0,10
905,905,0,10
906,906,0,10
907,907,0,10
908,908,0,10
909,909,0,10
910,910,0,10
911,911,0,10
912,912,0,10
913,913,0,10
914,914,0,10
915,915,0,10
916,916,0,10
917,917,0,10
918,918,0,10
919,919,0,10
920,920,0,10
921,921,0,10
922,922,0,10
923,923,0,10
924,924,0,10
925,925,0,10
926,926,0,10
927,927,0,10
928,928,0,10
929,929,0,10
930,930,0,10
931,931,0,10
932,932,0,10
933,933,0,10
934,934,0,10
935,935,0,10
936,936,0,10
937,937,0,10
938,938,0,10
939,939,0,10
940,940,0,10
941,941,0,10
942,942,0,10
943,943,0,10
944,944,0,10
945,945,0,10
946,946,0,10
947,947,0,10
948,948,0,10
949,949,0,10
950,950,0,10
951,951,0,10
952,952,0,10
953,953,0,10
954,954,0,10
955,955,0,10
956,956,0,10
957,957,0,10
958,958,0,10
959,959,0,10
960,960,0,10
961,961,0,10
962,962,0,10
963,963,0,10
964,964,0,10
965,965,0,10
966,966,0,10
967,967,0,10
968,968,0,10
969,969,0,10
970,970,0,10
971,971,0,10
972,972,0,10
973,973,0,10
974,974,0,10
975,975,0,10
976,976,0,10
977,977,0,10
978,978,0,10
979,979,0,10
980,980,0,10
981,981,0,10
982,982,0,10
983,983,0,10
984,984,0,10
985,985,0,10
986,986,0,10
987,987,0,10
988,988,0,10
989,989,0,10
990,990,0,10
991,991,0,10
992,992,0,10
993,993,0,10
994,994,0,10
995,995,0,10
996,996,0,10
997,997,0,10
998,998,0,10
999,999,0,10
